Node Name,Mass
BOT_BOX.10,2.573327e-05 
BOT_BOX.12,1.175423e-06 
BOT_BOX.13,2.241815e-05 
BOT_BOX.14,0.00258198
BOT_BOX.15,0.001523227
BOT_BOX.16,5.385522e-07 
BOT_BOX.18,0.0007944538
BOT_BOX.19,0.0004686844
BOT_BOX.2,1.816105e-05 
BOT_BOX.20,4.599536e-05 
BOT_BOX.21,0.005635328
BOT_BOX.22,0.0005627382
BOT_BOX.23,0.0003319849
BOT_BOX.26,0.000252307
BOT_BOX.29,4.593366e-05 
BOT_BOX.3,0.0005558031
BOT_BOX.31,8.774855e-05 
BOT_BOX.32,1.479611e-05 
BOT_BOX.37,7.059346e-05 
BOT_BOX.38,5.097098e-05 
BOT_BOX.40,0.0002458259
BOT_BOX.42,0.0005243444
BOT_BOX.45,0.0004607086
BOT_BOX.46,0.0003093346
BOT_BOX.47,6.959623e-05 
BOT_BOX.49,3.035694e-05 
BOT_BOX.5,0.0009421263
BOT_BOX.50,4.454156e-05 
BOT_BOX.51,7.769815e-05 
BOT_BOX.52,5.179816e-05 
BOT_BOX.53,7.285912e-05 
BOT_BOX.54,0.003324536
BOT_BOX.55,0.0004276785
BOT_BOX.56,6.208789e-05 
BOT_BOX.57,0.0001590195
BOT_BOX.58,1.155140e-05 
BOT_BOX.59,7.312784e-05 
BOT_BOX.60,2.939770e-05 
BOT_BOX.7,3.211356e-05 
BOT_BOX.8,7.740240e-06 
CHIP.1,6.508138e-05 
CHIP.2,0.03163678
HEADER.1,0.003795582
HEADER.11,0.002170552
HEADER.12,0.002170552
HEADER.13,0.002170552
HEADER.14,0.002170552
HEADER.16,0.003795582
HEADER.18,0.003795582
HEADER.3,0.003795582
HEADER.5,0.00162503
HEADER.6,0.00162503
HEADER.7,0.00162503
HEADER.8,0.00162503
STACK_PCB.1,9.589119e-07 
STACK_PCB.10,0.0003823534
STACK_PCB.11,0.0004552705
STACK_PCB.12,0.0003014394
STACK_PCB.14,9.275041e-05 
STACK_PCB.15,0.0006481165
STACK_PCB.18,6.121584e-05 
STACK_PCB.20,0.0004277609
STACK_PCB.21,0.0002523556
STACK_PCB.22,0.0004425127
STACK_PCB.27,0.002712161
STACK_PCB.28,0.002106383
STACK_PCB.29,0.001242651
STACK_PCB.3,0.0004552202
STACK_PCB.31,0.0001645774
STACK_PCB.34,0.0006579099
STACK_PCB.37,0.004597309
STACK_PCB.5,0.0002005451
STACK_PCB.7,0.0004745241
STACK_PCB.9,4.393517e-07 
TOP_BOX.1,0.0005243444
TOP_BOX.10,0.0004686844
TOP_BOX.12,0.0002349043
TOP_BOX.14,7.227810e-05 
TOP_BOX.15,0.0007944538
TOP_BOX.16,3.730296e-05 
TOP_BOX.17,0.0009599655
TOP_BOX.18,1.175423e-06 
TOP_BOX.19,5.897322e-05 
TOP_BOX.2,0.0003093346
TOP_BOX.20,4.599536e-05 
TOP_BOX.21,4.770399e-05 
TOP_BOX.27,4.593366e-05 
TOP_BOX.29,9.440151e-05 
TOP_BOX.3,3.035694e-05 
TOP_BOX.31,8.188423e-05 
TOP_BOX.32,0.0001015067
TOP_BOX.33,0.0005126929
TOP_BOX.37,0.0001107987
TOP_BOX.4,0.0006208045
TOP_BOX.40,0.0001037566
TOP_BOX.41,0.005635328
TOP_BOX.42,0.0002458259
TOP_BOX.44,0.0009764272
TOP_BOX.47,0.0005663273
TOP_BOX.48,0.003324536
TOP_BOX.5,0.0008249057
TOP_BOX.50,0.001146029
TOP_BOX.52,2.501544e-05 
TOP_BOX.53,0.00258198
TOP_BOX.54,6.959623e-05 
TOP_BOX.56,0.001523227
TOP_BOX.57,5.385522e-07 
TOP_BOX.59,0.0001773123
TOP_BOX.6,0.0004866494
TOP_BOX.60,0.0001383734
TOP_BOX.61,7.063431e-05 
TOP_BOX.62,0.0001539837
TOP_BOX.63,0.001052308
TOP_BOX.7,6.230558e-05 
TOP_BOX.8,4.788144e-05 
TOP_BOX.9,4.292464e-05 
